,precision,recall,f1-score,support
Apple 6,0.9971223021582734,0.994261119081779,0.9956896551724138,697.0
Apple Braeburn 1,0.9896238651102465,0.9986910994764397,0.9941368078175895,764.0
Apple Crimson Snow 1,0.9951845906902087,0.9967845659163987,0.995983935742972,622.0
Apple Golden 1,0.9959183673469387,0.997275204359673,0.9965963240299524,734.0
Apple Golden 2,1.0,0.9902234636871509,0.9950877192982457,716.0
Apple Golden 3,0.9957627118644068,0.9846368715083799,0.9901685393258426,716.0
Apple Granny Smith 1,0.9789081885856079,0.9974715549936789,0.9881026925485284,791.0
Apple Pink Lady 1,0.9986187845303868,0.9944979367262724,0.996554100620262,727.0
Apple Red 1,0.9972451790633609,0.9917808219178083,0.9945054945054944,730.0
Apple Red 2,0.9972789115646259,0.9972789115646259,0.9972789115646259,735.0
Apple Red 3,0.9881129271916791,0.9984984984984985,0.9932785660941,666.0
Apple Red Delicious 1,0.9986772486772487,0.9973579920739762,0.9980171844018507,757.0
Apple Red Yellow 1,1.0,0.994750656167979,0.9973684210526316,762.0
Apple Red Yellow 2,0.9898373983739838,1.0,0.9948927477017365,974.0
Apple hit 1,1.0,0.9873540856031129,0.9936368086147822,1028.0
Apricot 1,0.9987113402061856,0.9923175416133163,0.9955041746949262,781.0
Avocado 1,0.9984756097560976,0.9924242424242424,0.9954407294832827,660.0
Avocado ripe 1,1.0,0.990084985835694,0.9950177935943061,706.0
Banana 1,0.99568345323741,0.9899856938483548,0.9928263988522237,699.0
Banana Lady Finger 1,0.9985119047619048,0.9940740740740741,0.9962880475129918,675.0
Banana Red 1,0.998641304347826,0.998641304347826,0.998641304347826,736.0
Beetroot 1,0.9940298507462687,1.0,0.997005988023952,666.0
Blueberry 1,0.9984825493171472,0.9924585218702866,0.9954614220877458,663.0
Cabbage white 1,1.0,0.99581589958159,0.9979035639412999,239.0
Cactus fruit 1,0.9974522292993631,0.9936548223350253,0.9955499046408137,788.0
Cantaloupe 1,1.0,0.9986149584487535,0.9993069993069993,722.0
Cantaloupe 2,0.9958391123439667,0.9958391123439667,0.9958391123439667,721.0
Carambula 1,0.963855421686747,0.997229916897507,0.9802586793737236,722.0
Carrot 1,1.0,0.9874476987447699,0.9936842105263157,239.0
Cauliflower 1,0.9980059820538385,1.0,0.999001996007984,1001.0
Cherry 1,0.9986504723346828,0.9973045822102425,0.9979770734996628,742.0
Cherry 2,0.998139534883721,0.9808043875685558,0.9893960350391885,1094.0
Cherry Rainier 1,0.9957228400342173,0.9974293059125964,0.9965753424657535,1167.0
Cherry Wax Black 1,1.0,1.0,1.0,710.0
Cherry Wax Red 1,0.9973226238286479,0.9973226238286479,0.9973226238286479,747.0
Cherry Wax Yellow 1,1.0,1.0,1.0,761.0
Chestnut 1,0.9984894259818731,0.9984894259818731,0.9984894259818731,662.0
Clementine 1,0.9972936400541272,1.0,0.9986449864498645,737.0
Cocos 1,0.99302649930265,0.9985974754558204,0.9958041958041958,713.0
Corn 1,1.0,0.9984871406959153,0.9992429977289932,661.0
Corn Husk 1,1.0,0.9927849927849928,0.9963794351918899,693.0
Cucumber 1,0.9951219512195122,1.0,0.9975550122249389,204.0
Cucumber 3,0.9971098265895953,1.0,0.9985528219971056,345.0
Cucumber Ripe 1,0.9779661016949153,1.0,0.988860325621251,577.0
Cucumber Ripe 2,0.9928263988522238,0.9942528735632183,0.9935391241923904,696.0
Dates 1,0.9932249322493225,0.9972789115646259,0.9952477936184657,735.0
Eggplant 1,1.0,0.9985632183908046,0.9992810927390366,696.0
Eggplant long 1,1.0,0.9968253968253968,0.9984101748807631,315.0
Fig 1,0.9980139026812314,0.9930830039525692,0.9955423476968795,1012.0
Ginger Root 1,0.9870689655172413,1.0,0.9934924078091106,458.0
Granadilla 1,0.997275204359673,1.0,0.9986357435197818,732.0
Grape Blue 1,0.9954248366013072,0.9973804846103471,0.996401701014066,1527.0
Grape Pink 1,0.9971631205673759,0.9943422913719944,0.9957507082152975,707.0
Grape White 1,0.9889807162534435,0.9972222222222222,0.9930843706777317,720.0
Grape White 2,0.9986468200270636,0.9946091644204852,0.9966239027683997,742.0
Grape White 3,0.9986893840104849,0.996078431372549,0.9973821989528796,765.0
Grape White 4,0.9986357435197817,0.9959183673469387,0.997275204359673,735.0
Grapefruit Pink 1,1.0,0.9986431478968792,0.9993211133740666,737.0
Grapefruit White 1,0.9973753280839895,0.9986859395532195,0.9980302035456337,761.0
Guava 1,0.9502617801047121,1.0,0.974496644295302,726.0
Hazelnut 1,1.0,1.0,1.0,686.0
Huckleberry 1,1.0,0.9986859395532195,0.9993425378040763,761.0
Kaki 1,0.9901960784313726,1.0,0.9950738916256158,707.0
Kiwi 1,0.9793388429752066,0.9985955056179775,0.9888734353268429,712.0
Kohlrabi 1,1.0,0.9901685393258427,0.9950599858856739,712.0
Kumquats 1,1.0,0.99581589958159,0.9979035639412999,717.0
Lemon 1,0.9970457902511078,0.9361997226074896,0.9656652360515021,721.0
Lemon Meyer 1,1.0,0.9974160206718347,0.9987063389391979,774.0
Limes 1,0.9959404600811907,0.9959404600811907,0.9959404600811907,739.0
Lychee 1,1.0,0.9986824769433466,0.999340804218853,759.0
Mandarine 1,0.995702005730659,0.9971305595408895,0.9964157706093189,697.0
Mango 1,0.9986244841815681,0.9945205479452055,0.9965682910089225,730.0
Mango Red 1,0.9938744257274119,0.9969278033794163,0.995398773006135,651.0
Mangostan 1,1.0,0.9880382775119617,0.9939831528279182,418.0
Maracuja 1,1.0,0.9960526315789474,0.998022412656559,760.0
Melon Piel de Sapo 1,0.9963403476669717,0.9954296160877514,0.9958847736625515,1094.0
Mulberry 1,1.0,0.9944979367262724,0.9972413793103448,727.0
Nectarine 1,0.9934469200524246,0.9908496732026144,0.9921465968586388,765.0
Nectarine Flat 1,0.9846582984658299,1.0,0.9922698524244554,706.0
Nut Forest 1,0.994994994994995,0.9979919678714859,0.9964912280701754,996.0
Nut Pecan 1,0.993514915693904,0.9960988296488946,0.9948051948051948,769.0
Onion Red 1,0.9956647398843931,0.9956647398843931,0.9956647398843931,692.0
Onion Red Peeled 1,0.9985250737463127,0.9912152269399708,0.9948567229977957,683.0
Onion White 1,0.957037037037037,1.0,0.9780469341408023,646.0
Orange 1,0.9908616187989556,1.0,0.9954098360655738,759.0
Papaya 1,0.9918478260869565,0.9905020352781547,0.991174473862865,737.0
Passion Fruit 1,0.9986263736263736,0.9972565157750343,0.9979409746053534,729.0
Peach 1,0.9847522236340533,0.9923175416133163,0.9885204081632654,781.0
Peach 2,0.9945105215004575,1.0,0.9972477064220183,1087.0
Peach Flat 1,0.9972602739726028,0.9918256130790191,0.9945355191256832,734.0
Pear 1,0.9986072423398329,0.991701244813278,0.9951422623178349,723.0
Pear 2,0.9989939637826962,0.9969879518072289,0.9979899497487437,996.0
Pear 3,0.9938650306748467,1.0,0.9969230769230769,324.0
Pear Abate 1,0.9959404600811907,0.997289972899729,0.9966147596479351,738.0
Pear Forelle 1,0.9981042654028436,0.9962157048249763,0.9971590909090909,1057.0
Pear Kaiser 1,1.0,0.9954441913439636,0.997716894977169,439.0
Pear Monster 1,0.9972789115646259,0.9918809201623816,0.994572591587517,739.0
Pear Red 1,0.9960278053624627,0.9980099502487563,0.9970178926441351,1005.0
Pear Stone 1,0.9981566820276497,1.0,0.9990774907749077,1083.0
Pear Williams 1,0.9972826086956522,0.993234100135318,0.9952542372881356,739.0
Pepino 1,0.9986595174262735,0.9973226238286479,0.9979906229068989,747.0
Pepper Green 1,0.9985855728429985,1.0,0.9992922859164897,706.0
Pepper Orange 1,0.9963065558633426,0.9908172635445363,0.9935543278084715,1089.0
Pepper Red 1,1.0,0.9980806142034548,0.9990393852065321,1042.0
Pepper Yellow 1,0.979187314172448,0.9969727547931383,0.9880000000000001,991.0
Physalis 1,0.9986033519553073,0.9986033519553073,0.9986033519553073,716.0
Physalis with Husk 1,0.9812834224598931,1.0,0.9905533063427799,734.0
Pineapple 1,1.0,0.9971509971509972,0.9985734664764622,702.0
Pineapple Mini 1,0.9957081545064378,0.9985652797704447,0.9971346704871059,697.0
Pitahaya Red 1,0.9960264900662251,0.99867197875166,0.9973474801061009,753.0
Plum 1,1.0,0.9984848484848485,0.9992418498862775,660.0
Plum 2,0.9935691318327974,1.0,0.996774193548387,618.0
Plum 3,1.0,0.9934829833454019,0.996730839084635,1381.0
Pomegranate 1,0.9852348993288591,1.0,0.9925625422582827,734.0
Pomelo Sweetie 1,0.9955817378497791,0.9985228951255539,0.9970501474926253,677.0
Potato Red 1,0.9984520123839009,0.9757942511346445,0.9869931140015302,661.0
Potato Red Washed 1,0.9971830985915493,0.9943820224719101,0.9957805907172996,712.0
Potato Sweet 1,0.9895678092399404,0.9940119760479041,0.9917849141150111,668.0
Potato White 1,0.9891472868217054,0.9937694704049844,0.9914529914529915,642.0
Quince 1,1.0,0.9709762532981531,0.9852744310575636,758.0
Rambutan 1,1.0,0.9985611510791367,0.9992800575953923,695.0
Raspberry 1,1.0,1.0,1.0,741.0
Redcurrant 1,1.0,0.9986301369863013,0.9993145990404386,730.0
Salak 1,1.0,0.9958333333333333,0.9979123173277662,720.0
Strawberry 1,1.0,0.9931129476584022,0.9965445749827229,726.0
Strawberry Wedge 1,1.0,0.9955516014234875,0.9977708426214891,1124.0
Tamarillo 1,0.9985754985754985,0.9971550497866287,0.997864768683274,703.0
Tangelo 1,1.0,0.995774647887324,0.9978828510938603,710.0
Tomato 1,0.9895379250217959,0.9982409850483729,0.9938704028021016,1137.0
Tomato 2,0.9969879518072289,0.9920079920079921,0.9944917376064096,1001.0
Tomato 3,0.9945652173913043,0.9981818181818182,0.9963702359346642,1100.0
Tomato 4,1.0,0.9932795698924731,0.9966284558327715,744.0
Tomato Cherry Red 1,1.0,1.0,1.0,729.0
Tomato Heart 1,0.9941176470588236,0.9892682926829268,0.9916870415647921,1025.0
Tomato Maroon 1,0.9948805460750854,0.9965811965811966,0.9957301451750641,585.0
Tomato Yellow 1,1.0,1.0,1.0,785.0
Tomato not Ripened 1,0.9944055944055944,0.9957983193277311,0.9951014695591323,714.0
Walnut 1,0.9990900818926297,0.997275204359673,0.9981818181818182,1101.0
Watermelon 1,1.0,0.9868995633187773,0.9934065934065934,687.0
Zucchini 1,0.9792284866468842,1.0,0.9895052473763118,330.0
Zucchini dark 1,1.0,0.9915492957746479,0.9957567185289957,355.0
accuracy,0.9953090716501476,0.9953090716501476,0.9953090716501476,0.9953090716501476
macro avg,0.9952759915486057,0.995329459062371,0.9952721763833855,105736.0
weighted avg,0.9953723260475449,0.9953090716501476,0.9953117835038747,105736.0
